千代田,1828
中央,5596
港,9906
新宿,17699
文京,5213
台東,6474
墨田,7115
江東,13077
品川,11405
目黒,10118
大田,19101
世田谷,27572
渋谷,9786
中野,11937
杉並,15428
豊島,10565
北,9270
荒川,5672
板橋,14393
練馬,17268
足立,17498
葛飾,12270
江戸川,18032
八王子,9654
立川,3222
武蔵野,3113
三鷹,3687
青梅,1658
府中,4316
昭島,1849
調布,4572
町田,6969
小金井,2102
小平,2914
日野,2782
東村山,2107
国分寺,2060
国立,1102
福生,1137
狛江,1439
東大和,1195
清瀬,1029
東久留米,1816
武蔵村山,1056
多摩,2084
稲城,1477
羽村,823
あきる野,1127
西東京,4046
瑞穂,409
日の出,160
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,15
青ヶ島,0
小笠原,11
都外,28552
調査中,183
