千代田,6111
中央,18521
港,28922
新宿,42499
文京,19259
台東,19353
墨田,24672
江東,45887
品川,39557
目黒,29553
大田,68029
世田谷,87157
渋谷,26997
中野,34548
杉並,49547
豊島,29385
北,32082
荒川,20745
板橋,51463
練馬,63555
足立,61989
葛飾,43050
江戸川,68395
八王子,39743
立川,12677
武蔵野,11130
三鷹,14110
青梅,6841
府中,18961
昭島,8006
調布,17370
町田,27452
小金井,8357
小平,12171
日野,12945
東村山,8804
国分寺,8845
国立,4639
福生,3998
狛江,6202
東大和,5174
清瀬,3953
東久留米,7365
武蔵村山,5280
多摩,8601
稲城,6442
羽村,3375
あきる野,4507
西東京,15246
瑞穂,1906
日の出,1095
檜原,66
奥多摩,173
大島,194
利島,1
新島,24
神津島,51
三宅,17
御蔵島,12
八丈,119
青ヶ島,0
小笠原,22
都外,95722
調査中,1059
