千代田,14807
中央,40418
港,60792
新宿,84751
文京,47779
台東,44461
墨田,58970
江東,113598
品川,91311
目黒,63789
大田,155357
世田谷,198601
渋谷,55101
中野,74437
杉並,112761
豊島,63885
北,72947
荒川,47835
板橋,116192
練馬,143852
足立,140516
葛飾,93055
江戸川,150657
八王子,90455
立川,31411
武蔵野,26725
三鷹,33764
青梅,17490
府中,45588
昭島,19376
調布,43946
町田,68311
小金井,21658
小平,31392
日野,30630
東村山,21417
国分寺,21280
国立,11940
福生,9128
狛江,14887
東大和,13502
清瀬,10484
東久留米,17970
武蔵村山,12478
多摩,21780
稲城,15559
羽村,8471
あきる野,11940
西東京,36371
瑞穂,4636
日の出,2473
檜原,167
奥多摩,504
大島,1099
利島,31
新島,185
神津島,347
三宅,186
御蔵島,62
八丈,601
青ヶ島,7
小笠原,359
都外,269145
調査中,2042
