千代田,1850
中央,5669
港,9989
新宿,18478
文京,5323
台東,6553
墨田,7240
江東,13198
品川,12045
目黒,10217
大田,19349
世田谷,27797
渋谷,9884
中野,12063
杉並,15570
豊島,10706
北,9454
荒川,5714
板橋,14496
練馬,17622
足立,17789
葛飾,12391
江戸川,18240
八王子,9835
立川,3248
武蔵野,3165
三鷹,3727
青梅,1667
府中,4368
昭島,1856
調布,4605
町田,7115
小金井,2176
小平,2940
日野,2833
東村山,2119
国分寺,2092
国立,1104
福生,1141
狛江,1464
東大和,1203
清瀬,1042
東久留米,1839
武蔵村山,1059
多摩,2107
稲城,1501
羽村,841
あきる野,1136
西東京,4085
瑞穂,411
日の出,166
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,16
青ヶ島,0
小笠原,12
都外,29309
調査中,185
