千代田,11644
中央,31083
港,49536
新宿,68850
文京,37192
台東,33911
墨田,45068
江東,86466
品川,71103
目黒,51191
大田,119557
世田谷,156353
渋谷,45086
中野,58917
杉並,86626
豊島,50721
北,55563
荒川,37264
板橋,88383
練馬,108718
足立,105389
葛飾,71330
江戸川,114852
八王子,65880
立川,22852
武蔵野,20119
三鷹,25521
青梅,11996
府中,33749
昭島,14381
調布,32996
町田,49759
小金井,15825
小平,22452
日野,22256
東村山,15380
国分寺,15873
国立,8684
福生,6598
狛江,11161
東大和,9682
清瀬,7273
東久留米,13355
武蔵村山,9084
多摩,15460
稲城,11245
羽村,5783
あきる野,8303
西東京,27077
瑞穂,3255
日の出,1755
檜原,121
奥多摩,344
大島,536
利島,28
新島,113
神津島,193
三宅,114
御蔵島,48
八丈,308
青ヶ島,4
小笠原,276
都外,162205
調査中,1626
