千代田,1852
中央,5678
港,10023
新宿,18486
文京,5325
台東,6560
墨田,7252
江東,13211
品川,12050
目黒,10243
大田,19397
世田谷,27868
渋谷,9898
中野,12071
杉並,15578
豊島,10718
北,9458
荒川,5728
板橋,14508
練馬,17642
足立,17803
葛飾,12395
江戸川,18262
八王子,9838
立川,3250
武蔵野,3165
三鷹,3732
青梅,1668
府中,4371
昭島,1856
調布,4611
町田,7131
小金井,2176
小平,2942
日野,2836
東村山,2119
国分寺,2095
国立,1106
福生,1141
狛江,1466
東大和,1204
清瀬,1042
東久留米,1841
武蔵村山,1060
多摩,2112
稲城,1502
羽村,842
あきる野,1138
西東京,4086
瑞穂,412
日の出,167
檜原,12
奥多摩,55
大島,72
利島,1
新島,14
神津島,2
三宅,13
御蔵島,2
八丈,16
青ヶ島,0
小笠原,12
都外,29342
調査中,186
