千代田,12969
中央,35155
港,54571
新宿,75544
文京,41731
台東,38420
墨田,50821
江東,98185
品川,80421
目黒,56595
大田,135338
世田谷,174197
渋谷,49422
中野,65446
杉並,97606
豊島,56720
北,62742
荒川,42081
板橋,100205
練馬,123936
足立,119612
葛飾,80160
江戸川,130437
八王子,75597
立川,26304
武蔵野,22807
三鷹,28980
青梅,14138
府中,38553
昭島,16408
調布,37245
町田,57419
小金井,18097
小平,25760
日野,25844
東村山,17893
国分寺,17981
国立,10004
福生,7645
狛江,12707
東大和,11200
清瀬,8546
東久留米,15173
武蔵村山,10371
多摩,18180
稲城,13153
羽村,6873
あきる野,9804
西東京,30699
瑞穂,3799
日の出,2036
檜原,137
奥多摩,394
大島,791
利島,28
新島,150
神津島,241
三宅,149
御蔵島,50
八丈,415
青ヶ島,4
小笠原,318
都外,198198
調査中,1860
