千代田,1673
中央,5191
港,9365
新宿,16200
文京,4797
台東,5896
墨田,6501
江東,11894
品川,10041
目黒,9280
大田,17048
世田谷,25205
渋谷,9077
中野,11024
杉並,14210
豊島,9424
北,8154
荒川,5155
板橋,12995
練馬,15555
足立,15611
葛飾,10949
江戸川,15957
八王子,8542
立川,2918
武蔵野,2836
三鷹,3344
青梅,1418
府中,3780
昭島,1609
調布,4193
町田,6190
小金井,1936
小平,2598
日野,2513
東村山,1833
国分寺,1844
国立,994
福生,943
狛江,1326
東大和,1022
清瀬,871
東久留米,1587
武蔵村山,927
多摩,1868
稲城,1298
羽村,681
あきる野,985
西東京,3652
瑞穂,360
日の出,150
檜原,12
奥多摩,49
大島,64
利島,1
新島,14
神津島,1
三宅,12
御蔵島,2
八丈,14
青ヶ島,0
小笠原,10
都外,24913
調査中,238
