千代田,13788
中央,37457
港,57135
新宿,79574
文京,44244
台東,40983
墨田,54328
江東,104848
品川,84923
目黒,59529
大田,143575
世田谷,184095
渋谷,51887
中野,69180
杉並,103789
豊島,59745
北,67568
荒川,44603
板橋,106792
練馬,132482
足立,127426
葛飾,85433
江戸川,139326
八王子,81336
立川,28366
武蔵野,24526
三鷹,31104
青梅,15622
府中,41500
昭島,17656
調布,40185
町田,61891
小金井,19537
小平,28111
日野,27797
東村山,19630
国分寺,19274
国立,10840
福生,8369
狛江,13587
東大和,12188
清瀬,9424
東久留米,16426
武蔵村山,11232
多摩,19750
稲城,14136
羽村,7539
あきる野,10729
西東京,33292
瑞穂,4140
日の出,2241
檜原,147
奥多摩,453
大島,917
利島,29
新島,164
神津島,285
三宅,164
御蔵島,53
八丈,472
青ヶ島,5
小笠原,335
都外,236475
調査中,1961
