千代田,2110
中央,6309
港,11183
新宿,20358
文京,6024
台東,7385
墨田,8058
江東,14562
品川,13339
目黒,11407
大田,21520
世田谷,30804
渋谷,11019
中野,13533
杉並,17523
豊島,11739
北,10312
荒川,6690
板橋,16051
練馬,19339
足立,19870
葛飾,13543
江戸川,19999
八王子,10971
立川,3644
武蔵野,3546
三鷹,4152
青梅,1836
府中,4875
昭島,2096
調布,5176
町田,7922
小金井,2432
小平,3353
日野,3156
東村山,2371
国分寺,2363
国立,1232
福生,1307
狛江,1648
東大和,1326
清瀬,1248
東久留米武蔵村山,2020
多摩,2314
稲城,1650
羽村,943
あきる野,1265
西東京,4598
瑞穂,454
日の出,206
檜原,22
奥多摩,55
大島,74
利島,1
新島,15
神津島,2
三宅,14
御蔵島,2
八丈,18
青ヶ島,0
小笠原,14
都外,31670
調査中,230
