千代田,6629
中央,19688
港,30625
新宿,44732
文京,20502
台東,20449
墨田,26242
江東,48978
品川,42259
目黒,31463
大田,72220
世田谷,92839
渋谷,28493
中野,36424
杉並,52702
豊島,31081
北,34487
荒川,21996
板橋,54815
練馬,67814
足立,65801
葛飾,45658
江戸川,72195
八王子,42171
立川,13466
武蔵野,11886
三鷹,15040
青梅,7357
府中,20234
昭島,8489
調布,18602
町田,29339
小金井,8997
小平,13183
日野,13731
東村山,9480
国分寺,9525
国立,4985
福生,4232
狛江,6705
東大和,5467
清瀬,4252
東久留米,8047
武蔵村山,5517
多摩,9102
稲城,6953
羽村,3685
あきる野,4916
西東京,16230
瑞穂,2049
日の出,1146
檜原,68
奥多摩,175
大島,202
利島,1
新島,29
神津島,51
三宅,18
御蔵島,13
八丈,120
青ヶ島,0
小笠原,24
都外,102785
調査中,1101
