千代田,1692
中央,5302
港,9494
新宿,16509
文京,4897
台東,6034
墨田,6657
江東,12164
品川,10249
目黒,9501
大田,17611
世田谷,25789
渋谷,9225
中野,11222
杉並,14501
豊島,9682
北,8399
荒川,5285
板橋,13252
練馬,15925
足立,15941
葛飾,11185
江戸川,16377
八王子,8757
立川,2979
武蔵野,2896
三鷹,3414
青梅,1456
府中,3865
昭島,1658
調布,4270
町田,6329
小金井,1959
小平,2659
日野,2584
東村山,1893
国分寺,1876
国立,1023
福生,970
狛江,1356
東大和,1064
清瀬,909
東久留米,1624
武蔵村山,966
多摩,1930
稲城,1334
羽村,701
あきる野,1012
西東京,3743
瑞穂,368
日の出,151
檜原,12
奥多摩,49
大島,65
利島,1
新島,14
神津島,1
三宅,12
御蔵島,2
八丈,14
青ヶ島,0
小笠原,10
都外,25707
調査中,216
